cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag,nearest_station,distance
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,TF,wsw,N,65%,a,b,>0&<200,152,6,0.864,2.136,51.6,29.4,0.985,1.015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,TF,wsw,N,65%,a,c,>0&<200,152,6,0.864,2.136,52.7,29.8,0.985,1.015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,TF,wsw,N,65%,b,a,>0&<200,152,6,0.864,2.136,53.8,31.4,0.985,1.015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,TF,wsw,N,65%,b,b,>0&<200,152,6,0.864,2.136,51.2,30.7,0.985,1.015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,TF,wsw,N,65%,b,c,>0&<200,152,6,0.864,2.136,55.9,33.1,0.985,1.015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,TF,wsw,N,65%,c,a,>0&<200,152,6,0.864,2.136,49.3,27.9,0.985,1.015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,TF,wsw,N,65%,c,b,>0&<200,152,6,0.864,2.136,48,28.5,0.985,1.015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,TF,wsw,N,65%,c,c,>0&<200,152,6,0.864,2.136,50,28.7,0.985,1.015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,TF,dil,N,65%,a,a,>10&<200,152,6,0.864,2.136,8.33,4.84,0.985,1.015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ar66,1',10-11-12-13',NA',2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,TF,dil,N,65%,a,b,>10&<200,152,6,0.864,2.136,7.38,4.18,0.985,1.015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
